#  b = [b0:  0.02868000, b1:  0.00080000, b2: -0.02788000]
#  a = [a0:  1.00000000, a1: -2.00000000, a2:  1.00000000]
#  index      real(x)      imag(x)      real(y)      imag(y)        error
      88   0.29891646   0.95427930   0.13310646  -0.99110174   2.70453286
      89   0.00355777   0.99999368   0.43263477  -0.90156925   2.69062161
      90  -0.29211876   0.95638204   0.69252121  -0.72139752   2.67305613
      91  -0.56170130   0.82734013   0.88474327  -0.46607867   2.65209055
      92  -0.78110898   0.62439471   0.98711485  -0.16001344   2.62794065
      93  -0.93074286   0.36567429   0.98618436   0.16565132   2.60081720
      94  -0.99723673   0.07428941   0.87935174   0.47617278   2.57093763
      95  -0.97465080  -0.22373147   0.67581242   0.73707366   2.53850389
      96  -0.86500269  -0.50176722   0.39611059   0.91820282   2.50371408
      97  -0.67808688  -0.73498178   0.07028879   0.99752671   2.46678281
      98  -0.43059984  -0.90254295  -0.26535848   0.96414983   2.42785954
      99  -0.14464882  -0.98948306  -0.57228005   0.82005829   2.38715100
     100   0.15422319  -0.98803604  -0.81435794   0.58036292   2.34481192
     101   0.43931895  -0.89833117  -0.96232492   0.27190202   2.30100560
     102   0.68517190  -0.72838140  -0.99756736  -0.06970919   2.25587034
     103   0.86982077  -0.49336788  -0.91468912  -0.40415815   2.20957685
     104   0.97677153  -0.21428347  -0.72249752  -0.69137347   2.16224599
     105   0.99647063   0.08394215  -0.44321960  -0.89641309   2.11402440
     106   0.92715842   0.37466949  -0.10999562  -0.99393207   2.06505537
     107   0.77502513   0.63193035   0.23712005  -0.97148037   2.01543760
     108   0.55366224   0.83274132   0.55597550  -0.83119869   1.96530092
     109   0.28284261   0.95916635   0.80758166  -0.58975571   1.91479623
     110  -0.01324242   0.99991232   0.96107531  -0.27628660   1.86396730
     111  -0.30814454   0.95133954   0.99747372   0.07103658   1.81294191
     112  -0.57552117   0.81778687   0.91218448   0.40977979   1.76182497
     113  -0.79148847   0.61118412   0.71559203   0.69851846   1.71071184
     114  -0.93675476   0.34998637   0.43172193   0.90200675   1.65964067
     115  -0.99834400   0.05752556   0.09535136   0.99544370   1.60873544
     116  -0.97075462  -0.24007383  -0.25238553   0.96762675   1.55809343
     117  -0.85645103  -0.51622826  -0.56917793   0.82221437   1.50773180
     118  -0.66564363  -0.74626976  -0.81661254   0.57718623   1.45771921
     119  -0.41537654  -0.90964955  -0.96491444   0.26256448   1.40811861
     120  -0.12800531  -0.99177349  -0.99652153  -0.08333581   1.35900629
     121   0.17080021  -0.98530567  -0.90812600  -0.41869706   1.31042802
     122   0.45434874  -0.89082390  -0.71090674  -0.70328629   1.26242769
     123   0.69731182  -0.71676791  -0.42906427  -0.90327394   1.21509683
     124   0.87798649  -0.47868544  -0.09666957  -0.99531651   1.16846025
     125   0.98023361  -0.19784367   0.24655382  -0.96912909   1.12251604
     126   0.99491978   0.10067079   0.55993474  -0.82853675   1.07733095
     127   0.92073321   0.39019269   0.80684352  -0.59076518   1.03284776
     128   0.76430070   0.64485997   0.95871538  -0.28436741   0.98918664
     129   0.53959584   0.84192419   0.99852079   0.05437146   0.94644105
     130   0.26669073   0.96378219   0.92248666   0.38602892   0.90451562
     131  -0.03003696   0.99954879   0.74024308   0.67233932   0.86347336
     132  -0.32408154   0.94602913   0.47354850   0.88076776   0.82335597
     133  -0.58917701   0.80800396   0.15345034   0.98815638   0.78409892
     134  -0.80164337   0.59780258  -0.18319173   0.98307723   0.74580699
     135  -0.94250166   0.33420151  -0.49824831   0.86703438   0.70846111
     136  -0.99916947   0.04074738  -0.75654942   0.65393656   0.67201746
     137  -0.96658492  -0.25634658  -0.92965281   0.36843672   0.63656747
     138  -0.84765869  -0.53054196  -0.99908364   0.04280110   0.60205394
     139  -0.65301394  -0.75734586  -0.95803553  -0.28664947   0.56851131
     140  -0.40003777  -0.91649866  -0.81197405  -0.58369350   0.53596812
     141  -0.11132755  -0.99378377  -0.57770526  -0.81624544   0.50435573
     142   0.18732716  -0.98229760  -0.28143483  -0.95958036   0.47372946
     143   0.46924859  -0.88306612   0.04441206  -0.99901330   0.44401300
     144   0.70925361  -0.70495337   0.36460963  -0.93116045   0.41522536
     145   0.88590348  -0.46386960   0.64501208  -0.76417238   0.38739902
     146   0.98341864  -0.18134990   0.85622358  -0.51660538   0.36052263
     147   0.99308836   0.11736914   0.97656465  -0.21522421   0.33456168
     148   0.91404891   0.40560400   0.99415833   0.10793164   0.30949721
     149   0.75336057   0.65760761   0.90803409   0.41889626   0.28540930
     150   0.52537715   0.85086948   0.72797966   0.68559873   0.26221222
     151   0.25046360   0.96812600   0.47329256   0.88090533   0.23986562
     152  -0.04682302   0.99890321   0.17070858   0.98532158   0.21838892
     153  -0.33992711   0.94045180  -0.14854385   0.98890585   0.19774376
     154  -0.60266668   0.79799306  -0.45191276   0.89206213   0.17793027
     155  -0.81157207   0.58425230  -0.70882863   0.70538074   0.15900171
     156  -0.94798255   0.31832233  -0.89389795   0.44827056   0.14087042
     157  -0.99971294   0.02395770  -0.98914045   0.14697355   0.12354790
     158  -0.96214247  -0.27254698  -0.98574167  -0.16826570   0.10696921
     159  -0.83862710  -0.54470599  -0.88473743  -0.46608973   0.09117254
     160  -0.64020002  -0.76820827  -0.69671905  -0.71734411   0.07605492
     161  -0.38458607  -0.92308915  -0.44075239  -0.89762872   0.06167733
     162  -0.09461838  -0.99551362  -0.14230376  -0.98982304   0.04802835
     163   0.20380124  -0.97901231   0.16938303  -0.98555028   0.03503546
     164   0.48401600  -0.87505913   0.46401340  -0.88582820   0.02271782
     165   0.72099531  -0.69293994   0.71326596  -0.70089346   0.01109063
     166   0.89357054  -0.44892284   0.89354938  -0.44896489   0.00004709
     167   0.98632616  -0.16480498   0.98797816  -0.15459363  -0.01034417
     168   0.99097669   0.13403435   0.98809105   0.15387015  -0.02004494
     169   0.90710664   0.42090085   0.89443302   0.44720194  -0.02919639
     170   0.74220788   0.67016971   0.71631771   0.69777423  -0.03784815
     171   0.51101023   0.85957462   0.47101375   0.88212585  -0.04592000
     172   0.23416580   0.97219670   0.18199326   0.98329979  -0.05334724
     173  -0.06359587   0.99797571  -0.12360047   0.99233204  -0.06027854
     174  -0.35567674   0.93460906  -0.41727394   0.90878075  -0.06680551
     175  -0.61598623   0.78775692  -0.67173064   0.74079549  -0.07290520
     176  -0.82127178   0.57053721  -0.86345369   0.50442809  -0.07844032
     177  -0.95319593   0.30235332  -0.97510785   0.22173117  -0.08357111
     178  -0.99997437   0.00716126  -0.99671274  -0.08101676  -0.08826698
     179  -0.95742851  -0.28867048  -0.92664230  -0.37594420  -0.09257759
     180  -0.82935888  -0.55871630  -0.77175325  -0.63592207  -0.09636560
     181  -0.62720543  -0.77885389  -0.54649127  -0.83746481  -0.09979115
     182  -0.36902589  -0.92941910  -0.27160153  -0.96240979  -0.10290398
     183  -0.07788251  -0.99696255   0.02771987  -0.99961573  -0.10568488
     184   0.22021782  -0.97545069   0.32425237  -0.94597059  -0.10818352
     185   0.49864686  -0.86680526   0.59106588  -0.80662328  -0.11034261
     186   0.73253345  -0.68073100   0.80411154  -0.59447849  -0.11214320
     187   0.90098542  -0.43384939   0.94439018  -0.32882705  -0.11369955
     188   0.98895538  -0.14821354   0.99943042  -0.03374719  -0.11500802
     189   0.98858535   0.15066175   0.96448898   0.26412314  -0.11605704
     190   0.89990842   0.43607894   0.84293360   0.53801763  -0.11684670
     191   0.73084575   0.68254268   0.64588600   0.76343387  -0.11737697
     192   0.49649909   0.86803722   0.39119035   0.92030978  -0.11763631
     193   0.21780191   0.97599298   0.10158205   0.99482715  -0.11780418
     194  -0.08035078   0.99676663  -0.19684102   0.98043543  -0.11769736
     195  -0.37132600   0.92850256  -0.47756267   0.87859768  -0.11744177
     196  -0.62913197   0.77729851  -0.71559083   0.69851971  -0.11703359
     197  -0.83073974   0.55666107  -0.88974661   0.45645475  -0.11635457
     198  -0.95814031   0.28629899  -0.98476517   0.17388940  -0.11558402
     199  -0.99995357  -0.00963720  -0.99229956  -0.12386105  -0.11454261
     200  -0.95244437  -0.30471253  -0.91181749  -0.41059569  -0.11347068
     201  -0.81985658  -0.57256895  -0.75052059  -0.66084707  -0.11231102
     202  -0.61403382  -0.78927970  -0.52281600  -0.85244554  -0.11101022
     203  -0.35336155  -0.93548685  -0.24894050  -0.96851879  -0.10957587
