# index  real(x)      imag(x)      real(y)      imag(y)      error        
    90  -0.71488697   0.69924003   0.98196666  -0.18905417   2.55745762
    91  -0.88959717   0.45674597   0.99219584   0.12468928   2.54224411
    92  -0.98484230   0.17345216   0.90323010   0.42915659   2.52369997
    93  -0.99211440  -0.12533563   0.72123377   0.69269174   2.50204424
    94  -0.91076388  -0.41292755   0.46268921   0.88652056   2.47748869
    95  -0.74805753  -0.66363388   0.15317010   0.98819984   2.45023788
    96  -0.51852943  -0.85505978  -0.17506638   0.98455663   2.42048925
    97  -0.24268264  -0.97010573  -0.48645635   0.87370488   2.38843319
    98   0.05484226  -0.99849503  -0.74611596   0.66581602   2.35425310
    99   0.34746827  -0.93769174  -0.92397123   0.38246199   2.31812552
   100   0.60905598  -0.79312724  -0.99851229   0.05452705   2.28022022
   101   0.81623852  -0.57771504  -0.95967126  -0.28112466   2.24070028
   102   0.95050891  -0.31069729  -0.81041049  -0.58586248   2.19972222
   103   0.99987318  -0.01592586  -0.56675869  -0.82388385   2.15743611
   104   0.95992174   0.28026817  -0.25622605  -0.96661689   2.11398567
   105   0.83422336   0.55142668   0.08525773  -0.99635893   2.06950844
   106   0.63400629   0.77332789   0.41753784  -0.90865954   2.02413583
   107   0.37715533   0.92615002   0.70105544  -0.71310678   1.97799331
   108   0.08661420   0.99624193   0.90169301  -0.43237683   1.93120054
   109  -0.21166392   0.97734251   0.99502431  -0.09963241   1.88387145
   110  -0.49103472   0.87114000   0.96941534   0.24542594   1.83611442
   111  -0.72654286   0.68712115   0.82756452   0.56137061   1.78803240
   112  -0.89715109   0.44172381   0.58626924   0.81011627   1.73972305
   113  -0.98761948   0.15686860   0.27443468   0.96160574   1.69127889
   114  -0.98986677  -0.14199922  -0.07043135   0.99751663   1.64278742
   115  -0.90369221  -0.42818267  -0.40679772   0.91351826   1.59433126
   116  -0.73679351  -0.67611784  -0.69418630   0.71979537   1.54598831
   117  -0.50407924  -0.86365741  -0.89810670   0.43977762   1.49783186
   118  -0.22633708  -0.97404904  -0.99423281   0.10724330   1.44993075
   119   0.07162311  -0.99743177  -0.97130676  -0.23783015   1.40234953
   120   0.36318541  -0.93171689  -0.83242193  -0.55414234   1.35514852
   121   0.62230544  -0.78277451  -0.59454493  -0.80406239   1.30838404
   122   0.82583678  -0.56390922  -0.28635851  -0.95812254   1.26210850
   123   0.95559858  -0.29467160   0.05528576  -0.99847057   1.21637052
   124   0.99999961   0.00088816   0.38985064  -0.92087810   1.17121509
   125   0.95507364   0.29636858   0.67797239  -0.73508737   1.12668370
   126   0.82483380   0.56537528   0.88610375  -0.46348694   1.08281446
   127   0.62091401   0.78387869   0.99038909  -0.13830927   1.03964223
   128   0.36152981   0.93236055   0.97932694   0.20228383   0.99719876
   129   0.06985124   0.99755742   0.85493262   0.51873906   0.95551277
   130  -0.22806693   0.97364546   0.63229991   0.77472370   0.91461015
   131  -0.50561257   0.86276064   0.33765284   0.94127072   0.87451400
   132  -0.73799334   0.67480799   0.00515294   0.99998672   0.83524479
   133  -0.90445137   0.42657675  -0.32713612   0.94497723   0.79682048
   134  -0.99011744   0.14024068  -0.62164043   0.78330274   0.75925662
   135  -0.98733928  -0.15862267  -0.84551310   0.53395467   0.72256645
   136  -0.89636504  -0.44331673  -0.97424107   0.22550905   0.68676102
   137  -0.72532117  -0.68841063  -0.99423321  -0.10723958   0.65184930
   138  -0.48948653  -0.87201086  -0.90413002  -0.42725743   0.61783829
   139  -0.20992752  -0.97771695  -0.71472716  -0.69940338   0.58473310
   140   0.08838370  -0.99608650  -0.44756262  -0.89425259   0.55253705
   141   0.37879986  -0.92547861  -0.13236302  -0.99120131   0.52125178
   142   0.63537896  -0.77220048   0.19633802  -0.98053627   0.49087734
   143   0.83520155  -0.54994397   0.50301777  -0.86427607   0.46141226
   144   0.96041807  -0.27856261   0.75499434  -0.65573131   0.43285369
   145   0.99984331   0.01770193   0.92585870  -0.37786991   0.40519740
   146   0.94995552   0.31238520   0.99815619  -0.06069775   0.37843794
   147   0.81521103   0.57916403   0.96505735   0.26203875   0.35256868
   148   0.60764617   0.79420786   0.83087338   0.55646152   0.32758190
   149   0.34580209   0.93830747   0.61039752   0.79209524   0.30346887
   150   0.05306854   0.99859087   0.32717584   0.94496347   0.28021991
   151  -0.24440547   0.96967312   0.01091770   0.99994040   0.25782444
   152  -0.52004747   0.85413736  -0.30566370   0.95213954   0.23627111
   153  -0.74923517   0.66230405  -0.59024211   0.80722627   0.21554779
